add.POSIXct,viz_owner_repo,video,source,title
2025-09-22T17:13:36.622877Z,tdhock/2024-11-27-decision-tree-spam,https://vimeo.com/1051463402,https://github.com/tdhock/2023-08-unsupervised-learning/blob/main/slides/20-decision-tree-spam.R,Cross-validation for Breiman's CART algorithm on SPAM data
2025-09-22T17:13:36.622877Z,tdhock/2024-11-23-greedy-decision-tree,https://vimeo.com/1048533733,https://github.com/tdhock/2023-08-unsupervised-learning/blob/main/slides/20-decision-trees.R,Greedy decision tree learning algorithm for binary classification (Breiman's CART)
2025-09-22T17:13:36.622877Z,tdhock/2024-09-16-K-fold-CV-train-sizes-regression,https://vimeo.com/1051473773,https://github.com/tdhock/2024-08-ift603-712/blob/main/cv-noise-samples.R,Samples required to learn non-trivial regression model
2025-09-22T17:13:36.622877Z,tdhock/2023-12-27-train-sizes-classification,https://vimeo.com/1053477025,https://github.com/tdhock/mlr3resampling/blob/main/vignettes/Older_resamplers.Rmd,"Variable size train sets, classification"
2025-09-22T17:13:36.622877Z,tdhock/2023-12-26-train-sizes-regression,https://vimeo.com/manage/videos/1053467310,https://github.com/tdhock/mlr3resampling/blob/main/vignettes/Older_resamplers.Rmd,"Variable size train set, regression"
2025-09-22T17:13:36.622877Z,tdhock/2023-12-13-train-predict-subsets-classification,https://vimeo.com/manage/videos/1053464329,https://github.com/tdhock/mlr3resampling/blob/main/vignettes/Older_resamplers.Rmd,"SOAK algorithm: train/predict on subsets, classification"
2025-09-22T17:13:36.622877Z,tdhock/2023-12-13-train-predict-subsets-regression,https://vimeo.com/1053413000,https://github.com/tdhock/mlr3resampling/blob/main/vignettes/Older_resamplers.Rmd,"SOAK algorithm: train/predict on subsets, regression"
2025-09-22T17:13:36.622877Z,tdhock/2025-09-22-degree-neighbors-table,"",https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-polynomial-neighbors-table-interactive.R,"Overfitting using linear model polynomial degree and nearest neighbors, HTML table layout"
2025-09-22T17:13:36.622877Z,tdhock/2023-12-04-degree-neighbors,"",https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-polynomial-neighbors-interactive.R,Overfitting using linear model polynomial degree and nearest neighbors
2025-09-22T17:13:36.622877Z,tdhock/2023-12-04-capacity-polynomial-degree-several-patterns,"",https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-quadratic-interactive.R,Overfitting using linear model polynomial degree
2025-09-22T17:13:36.622877Z,tdhock/2020-02-03-capacity-polynomial-degree,"",https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-quadratic-interactive.R,Overfitting using linear model polynomial degree
2025-09-22T17:13:36.622877Z,tdhock/2020-02-13-variable-importance-Sugar-Maple,"",https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Sugar Maple accuracy and variable selection
2025-09-22T17:13:36.622877Z,tdhock/2020-02-13-variable-importance-Table-Mountain-Pine,"",https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Table Mountain Pine accuracy and variable selection
2025-09-22T17:13:36.622877Z,tdhock/2020-02-13-roc-vs-error-Sugar-Maple,"",https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Sugar Maple ROC curves and error/accuracy metrics
2025-09-22T17:13:36.622877Z,tdhock/2020-02-13-roc-vs-error-Table-Mountain-Pine,"",https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Table Mountain Pine ROC curves and error/accuracy metrics
2025-09-22T17:13:36.622877Z,tdhock/2019-02-14-L2-regularization,"",https://github.com/tdhock/cs499-spring2019/blob/master/2019-02-14-L2-regularization/viz.R,L2-regularized (Ridge) least squares linear regression
2025-09-22T17:13:36.622877Z,tdhock/2019-02-05-linear-regression-1d-grad-desc-ozone-steps,"",https://github.com/tdhock/cs499-spring2019/blob/master/2019-02-05-linear-regression/viz.step.size.R,Gradient descent with several step sizes for 1d linear regression in ozone data
2025-09-22T17:13:36.622877Z,tdhock/2019-02-05-linear-regression-1d-grad-desc-ozone,"",https://github.com/tdhock/cs499-spring2019/blob/master/2019-02-05-linear-regression/viz.R,Gradient descent for 1d linear regression in ozone data
2025-09-22T17:13:36.622877Z,tdhock/2019-01-nearest-neighbor-regression-one-split,"",https://github.com/tdhock/cs499-spring2019/blob/master/2019-01-17-nearest-neighbors/viz.R,Nearest neighbors algorithm for regression
2025-09-22T17:13:36.622877Z,tdhock/2023-01-regression-2d,"",https://github.com/tdhock/cs499-spring2019/blob/master/2019-01-17-nearest-neighbors/viz-ozone-test.R,Nearest neighbors for regression with 2D inputs
2025-09-22T17:13:36.622877Z,tdhock/2019-01-nearest-neighbors-classification-1d,"",https://github.com/tdhock/cs499-spring2019/blob/master/2019-01-17-nearest-neighbors/viz-class-1d.R,Nearest neighbors algorithm for classification
2025-09-22T17:13:36.622877Z,tdhock/2019-01-nearest-neighbors-cross-validation,"",https://github.com/tdhock/cs499-spring2019/blob/master/2019-01-17-nearest-neighbors/viz-4folds.R,4 fold cross-validation
